dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,69.500724,228.322903,33.909510,49.142322,41.637943,-11.652723,0.362570
0.025000,70.671748,228.772573,35.163903,50.175719,41.335889,-12.082159,0.370647
0.025000,71.863002,229.240976,36.443937,51.201341,41.024866,-12.440917,0.378563
0.025000,73.074152,229.728181,37.749408,52.218840,40.699962,-12.996183,0.386299
0.025000,74.304880,230.234221,39.080109,53.228059,40.368749,-13.248509,0.393841
0.025000,75.554875,230.759082,40.435825,54.228651,40.023697,-13.802098,0.401171
0.025000,76.823837,231.302715,41.816334,55.220329,39.667097,-14.263980,0.408274
0.025000,78.111479,231.865022,43.221400,56.202645,39.292652,-14.977816,0.415134
0.025000,79.417529,232.445868,44.650787,57.175505,38.914417,-15.129390,0.421737
0.025000,80.741728,233.045075,46.104249,58.138480,38.518972,-15.817802,0.428069
0.025000,82.083834,233.662420,47.581531,59.091279,38.111972,-16.279980,0.434115
0.025000,83.443618,234.297640,49.082370,60.033555,37.691052,-16.836794,0.439863
0.025000,84.820871,234.950430,50.606496,60.965045,37.259595,-17.258293,0.445301
0.025000,86.215405,235.620443,52.153636,61.885608,36.822523,-17.482868,0.450414
0.025000,87.627044,236.307290,53.723504,62.794695,36.363467,-18.362273,0.455193
0.025000,89.055640,237.010544,55.315814,63.692395,35.908001,-18.218640,0.459625
0.025000,90.501057,237.729732,56.930268,64.578181,35.431429,-19.062884,0.463700
0.025000,91.963185,238.464348,58.566569,65.452034,34.954115,-19.092536,0.467407
0.025000,93.441936,239.213841,60.224412,66.313732,34.467929,-19.447431,0.470735
0.025000,94.937241,239.977624,61.903489,67.163083,33.974031,-19.755941,0.473674
0.025000,96.449052,240.755070,63.603488,67.999952,33.474791,-19.969602,0.476215
0.025000,97.977346,241.545515,65.324094,68.824224,32.970864,-20.157052,0.478348
0.025000,99.522119,242.348254,67.064989,69.635796,32.462874,-20.319634,0.480063
0.025000,101.083391,243.162546,68.825852,70.434547,31.950063,-20.512444,0.481351
0.025000,102.661201,243.987615,70.606365,71.220490,31.437689,-20.494950,0.482203
0.025000,104.255612,244.822642,72.406203,71.993529,30.921560,-20.645142,0.482610
0.025000,105.866705,245.666776,74.225044,72.753632,30.404137,-20.696927,0.482562
0.025000,107.494582,246.519123,76.062563,73.500790,29.886321,-20.712636,0.482050
0.025000,109.139362,247.378756,77.918438,74.234995,29.368187,-20.725359,0.481066
0.025000,110.801185,248.244706,79.792345,74.956252,28.850308,-20.715159,0.479600
0.025000,112.480204,249.115968,81.683958,75.664531,28.331155,-20.766129,0.477644
0.025000,114.176588,249.991496,83.592954,76.359857,27.813029,-20.725031,0.475187
0.025000,115.890519,250.870205,85.519010,77.042231,27.294970,-20.722361,0.472222
0.025000,117.622191,251.750972,87.461801,77.711643,26.776473,-20.739900,0.468739
0.025000,119.371805,252.632630,89.421003,78.368064,26.256838,-20.785387,0.464728
0.025000,121.139570,253.513972,91.396289,79.011443,25.735159,-20.867169,0.460182
0.025000,122.925695,254.393749,93.387331,79.641701,25.210303,-20.994242,0.455092
0.025000,124.730390,255.270669,95.393799,80.258723,24.680896,-21.176289,0.449448
0.025000,126.553861,256.143397,97.415358,80.862356,24.145303,-21.423703,0.443242
0.025000,128.396304,257.010555,99.451668,81.452396,23.601613,-21.747586,0.436467
0.025000,130.257905,257.870719,101.502386,82.028713,23.052694,-21.956755,0.429114
0.025000,132.138829,258.722425,103.567157,82.590828,22.484574,-22.724836,0.421177
0.025000,134.039215,259.564161,105.645614,83.138306,21.899148,-23.417028,0.412650
0.025000,135.959179,260.394378,107.737389,83.670969,21.306526,-23.704855,0.403525
0.025000,137.898789,261.211480,109.842084,84.187827,20.674323,-25.288127,0.393800
0.025000,139.858080,262.013836,111.959298,84.688555,20.029081,-25.809692,0.383470
0.025000,141.837026,262.799775,114.088601,85.172114,19.342375,-27.468241,0.372533
0.025000,143.835550,263.567596,116.229546,85.637808,18.627765,-28.584406,0.360989
0.025000,145.853499,264.315566,118.381656,86.084386,17.863133,-30.585277,0.348838
0.025000,147.890650,265.041931,120.544430,86.510950,17.062549,-32.023371,0.336084
0.025000,149.946690,265.744917,122.717328,86.915946,16.199838,-34.508435,0.322731
0.025000,152.021154,266.422722,124.899717,87.295561,15.184596,-40.609651,0.308787
0.025000,154.113227,267.073475,127.090664,87.637882,13.692850,-59.669867,0.294265
0.025000,156.222039,267.695348,129.289258,87.943731,12.233950,-58.355991,0.279179
0.025000,158.346842,268.286616,131.494793,88.221427,11.107862,-45.043523,0.263546
0.025000,160.486773,268.845596,133.706527,88.469336,9.916328,-47.661351,0.247384
0.025000,162.640837,269.370652,135.923658,88.685267,8.637249,-51.163150,0.230717
0.025000,164.807920,269.860215,138.145352,88.867742,7.298996,-53.530117,0.213569
0.025000,166.986771,270.312797,140.370711,89.014352,5.864390,-57.384258,0.195970
0.025000,169.176028,270.727010,142.598808,89.123900,4.381932,-59.298339,0.177950
