dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,78.759697,199.755690,42.475154,58.116283,36.789025,-47.521174,0.354350
0.025000,80.141086,200.273256,43.950319,59.006606,35.612923,-47.044088,0.362570
0.025000,81.538309,200.809779,45.447011,59.867686,34.443182,-46.789644,0.370647
0.025000,82.950556,201.365070,46.964506,60.699788,33.284091,-46.363639,0.378563
0.025000,84.377045,201.938892,48.502083,61.503080,32.131673,-46.096724,0.386299
0.025000,85.817026,202.530963,50.059032,62.277989,30.996386,-45.411450,0.393841
0.025000,87.269777,203.140953,51.634651,63.024752,29.870485,-45.036040,0.401171
0.025000,88.734609,203.768490,53.228243,63.743690,28.757527,-44.518339,0.408274
0.025000,90.210862,204.413156,54.839117,64.434960,27.650804,-44.268908,0.415134
0.025000,91.697912,205.074493,56.466596,65.099127,26.566680,-43.364953,0.421737
0.025000,93.195168,205.752002,58.110005,65.736367,25.489588,-43.083691,0.428069
0.025000,94.702071,206.445144,59.768680,66.347008,24.425660,-42.557139,0.434115
0.025000,96.218094,207.153345,61.441962,66.931298,23.371595,-42.162599,0.439863
0.025000,97.742744,207.875992,63.129201,67.489556,22.330323,-41.650876,0.445301
0.025000,99.275563,208.612439,64.829757,68.022209,21.306108,-40.968577,0.450414
0.025000,100.816117,209.362006,66.542987,68.529200,20.279669,-41.057555,0.455193
0.025000,102.364012,210.123981,68.268265,69.011142,19.277651,-40.080722,0.459625
0.025000,103.918875,210.897622,70.004963,69.467930,18.271522,-40.245176,0.463700
0.025000,105.480368,211.682157,71.752463,69.899975,17.281789,-39.589309,0.467407
0.025000,107.048177,212.476784,73.510148,70.307422,16.297878,-39.356433,0.470735
0.025000,108.622015,213.280678,75.277408,70.690405,15.319334,-39.141777,0.473674
0.025000,110.201617,214.092982,77.053635,71.049078,14.346935,-38.895966,0.476215
0.025000,111.786744,214.912818,78.838225,71.383569,13.379632,-38.692098,0.478348
0.025000,113.377176,215.739281,80.630574,71.693979,12.416396,-38.529472,0.480063
0.025000,114.972713,216.571444,82.430083,71.980351,11.454870,-38.461006,0.481351
0.025000,116.573173,217.408355,84.236153,72.242824,10.498947,-38.236933,0.482203
0.025000,118.178388,218.249041,86.048188,72.481398,9.542956,-38.239636,0.482610
0.025000,119.788208,219.092507,87.865591,72.696104,8.588223,-38.189330,0.482562
0.025000,121.402489,219.937737,89.687765,72.886970,7.634628,-38.143810,0.482050
0.025000,123.021103,220.783695,91.514115,73.054005,6.681430,-38.127916,0.481066
0.025000,124.643926,221.629325,93.344046,73.197221,5.728626,-38.112157,0.479600
0.025000,126.270842,222.473553,95.176960,73.316582,4.774439,-38.167484,0.477644
0.025000,127.901738,223.315285,97.012263,73.412110,3.821137,-38.132063,0.475187
0.025000,129.536505,224.153412,98.849358,73.483813,2.868121,-38.120652,0.472222
0.025000,131.175032,224.986808,100.687651,73.531704,1.915626,-38.099807,0.468739
0.025000,132.817208,225.814331,102.526546,73.555807,0.964121,-38.060171,0.464728
0.025000,134.462916,226.634827,104.365450,73.556165,0.014337,-37.991364,0.460182
0.025000,136.112035,227.447127,106.203772,73.532848,-0.932713,-37.881998,0.455092
0.025000,137.764435,228.250053,108.040920,73.485955,-1.875705,-37.719699,0.449448
0.025000,139.419976,229.042418,109.876311,73.415630,-2.812984,-37.491160,0.443242
0.025000,141.078508,229.823026,111.709363,73.322067,-3.742540,-37.182224,0.436467
0.025000,142.739870,230.590680,113.539504,73.205630,-4.657481,-36.597659,0.429114
0.025000,144.403883,231.344177,115.366166,73.066497,-5.565328,-36.313886,0.421177
0.025000,146.070350,232.082317,117.188792,72.905033,-6.458537,-35.728329,0.412650
0.025000,147.739067,232.803905,119.006841,72.721983,-7.321995,-34.538324,0.403525
0.025000,149.409800,233.507751,120.819780,72.517559,-8.176978,-34.199318,0.393800
0.025000,151.082305,234.192679,122.627099,72.292742,-8.992696,-32.628719,0.383470
0.025000,152.756314,234.857528,124.428302,72.048105,-9.785459,-31.710537,0.372533
0.025000,154.431544,235.501159,126.222920,71.784733,-10.534902,-29.977736,0.360989
